Strike,Sigma_0.1,Sigma_0.3,Sigma_0.5
50,0.241799,0.30101,0.340174
51,0.240731,0.298622,0.336849
52,0.239682,0.296257,0.333552
53,0.238645,0.293914,0.330282
54,0.23762,0.291591,0.327032
55,0.236611,0.289288,0.323803
56,0.235614,0.287004,0.320597
57,0.234631,0.284739,0.317409
58,0.233661,0.282491,0.314238
59,0.232701,0.280258,0.311084
60,0.231754,0.278042,0.307946
61,0.230819,0.27584,0.304821
62,0.229895,0.273652,0.301709
63,0.228981,0.271478,0.29861
64,0.228077,0.269317,0.295522
65,0.227184,0.267167,0.292444
66,0.226301,0.26503,0.289374
67,0.225428,0.262903,0.286312
68,0.224564,0.260786,0.283259
69,0.223709,0.25868,0.280211
70,0.222863,0.256582,0.277168
71,0.222026,0.254494,0.27413
72,0.221197,0.252414,0.271097
73,0.220377,0.250341,0.268066
74,0.219564,0.248277,0.265036
75,0.21876,0.246219,0.262009
76,0.217964,0.244168,0.258982
77,0.217175,0.242123,0.255956
78,0.216394,0.240084,0.252929
79,0.21562,0.23805,0.2499
80,0.214854,0.236022,0.24687
81,0.214094,0.233999,0.243838
82,0.213341,0.23198,0.240804
83,0.212596,0.229966,0.237766
84,0.211857,0.227956,0.234724
85,0.211124,0.225951,0.231679
86,0.210398,0.223949,0.22863
87,0.209678,0.221951,0.225578
88,0.208965,0.219958,0.222521
89,0.208258,0.217968,0.21946
90,0.207557,0.215982,0.216395
91,0.206861,0.214,0.213328
92,0.206172,0.212022,0.210257
93,0.205489,0.210049,0.207185
94,0.204811,0.20808,0.204111
95,0.20414,0.206117,0.201037
96,0.203473,0.204159,0.197965
97,0.202813,0.202207,0.194897
98,0.202157,0.200261,0.191834
99,0.201508,0.198323,0.188779
100,0.200863,0.196394,0.185736
101,0.200224,0.194473,0.182708
102,0.199591,0.192563,0.1797
103,0.198962,0.190665,0.176716
104,0.198339,0.188779,0.173763
105,0.197721,0.186908,0.170847
106,0.197108,0.185052,0.167976
107,0.1965,0.183214,0.16516
108,0.195897,0.181396,0.162407
109,0.195299,0.1796,0.159728
110,0.194706,0.177827,0.157136
111,0.194118,0.17608,0.154643
112,0.193535,0.174363,0.152262
113,0.192957,0.172676,0.150004
114,0.192384,0.171023,0.147883
115,0.191815,0.169407,0.14591
116,0.191252,0.167829,0.144093
117,0.190693,0.166294,0.14244
118,0.190139,0.164803,0.140954
119,0.18959,0.163359,0.139637
120,0.189045,0.161964,0.138487
121,0.188506,0.160621,0.137499
122,0.187971,0.159331,0.136666
123,0.18744,0.158097,0.135981
124,0.186915,0.156919,0.135432
125,0.186394,0.155799,0.135009
126,0.185878,0.154738,0.134703
127,0.185366,0.153735,0.134501
128,0.184859,0.152792,0.134393
129,0.184357,0.151907,0.134369
130,0.18386,0.15108,0.13442
131,0.183367,0.15031,0.134538
132,0.182879,0.149596,0.134715
133,0.182395,0.148936,0.134944
134,0.181917,0.148329,0.13522
135,0.181442,0.147773,0.135535
136,0.180973,0.147265,0.135887
137,0.180508,0.146804,0.136269
138,0.180047,0.146388,0.136677
139,0.179592,0.146014,0.137109
140,0.179141,0.14568,0.137561
141,0.178694,0.145384,0.138031
142,0.178252,0.145124,0.138517
143,0.177815,0.144898,0.139016
144,0.177383,0.144704,0.139527
145,0.176955,0.14454,0.140048
146,0.176531,0.144403,0.140576
147,0.176113,0.144293,0.141109
148,0.175698,0.144208,0.141647
149,0.175289,0.144145,0.14219
150,0.174884,0.144104,0.142736
151,0.174483,0.144083,0.143288
152,0.174087,0.14408,0.143842
153,0.173696,0.144095,0.144398
154,0.173309,0.144126,0.144955
155,0.172927,0.144172,0.145511
156,0.17255,0.144233,0.146066
157,0.172176,0.144305,0.146617
158,0.171808,0.144391,0.147168
159,0.171444,0.144488,0.147716
160,0.171084,0.144595,0.148263
161,0.170729,0.144711,0.148814
162,0.170378,0.144837,0.149363
163,0.170032,0.144975,0.149915
164,0.16969,0.145116,0.150464
165,0.169352,0.145265,0.151006
166,0.16902,0.145421,0.151544
167,0.168691,0.145585,0.15207
168,0.168366,0.145753,0.152596
169,0.168046,0.145928,0.153115
170,0.167731,0.146104,0.153634
171,0.16742,0.146287,0.154153
172,0.167111,0.146478,0.154679
173,0.16681,0.146668,0.155206
174,0.166512,0.146867,0.155732
175,0.166215,0.147065,0.156259
