Strike,Theta_0.01,Theta_0.04,Theta_0.09
50,0.285781,0.30101,0.326047
51,0.283242,0.298622,0.323881
52,0.280725,0.296257,0.32174
53,0.278233,0.293914,0.319624
54,0.275756,0.291591,0.317531
55,0.273293,0.289288,0.315462
56,0.270851,0.287004,0.313414
57,0.268424,0.284739,0.311386
58,0.266007,0.282491,0.309379
59,0.263605,0.280258,0.307392
60,0.261218,0.278042,0.305424
61,0.25884,0.27584,0.303473
62,0.256471,0.273652,0.301541
63,0.254113,0.271478,0.299626
64,0.251764,0.269317,0.297727
65,0.249423,0.267167,0.295844
66,0.247087,0.26503,0.293976
67,0.244759,0.262903,0.292124
68,0.242437,0.260786,0.290287
69,0.240118,0.25868,0.288464
70,0.237803,0.256582,0.286654
71,0.235491,0.254494,0.284859
72,0.233183,0.252414,0.283076
73,0.230875,0.250341,0.281306
74,0.228568,0.248277,0.279549
75,0.22626,0.246219,0.277804
76,0.223952,0.244168,0.276071
77,0.221644,0.242123,0.27435
78,0.219332,0.240084,0.27264
79,0.217017,0.23805,0.270942
80,0.214698,0.236022,0.269255
81,0.212375,0.233999,0.267579
82,0.210047,0.23198,0.265913
83,0.207713,0.229966,0.264258
84,0.205372,0.227956,0.262614
85,0.203023,0.225951,0.26098
86,0.200667,0.223949,0.259357
87,0.198302,0.221951,0.257743
88,0.195928,0.219958,0.25614
89,0.193545,0.217968,0.254548
90,0.191151,0.215982,0.252965
91,0.188747,0.214,0.251393
92,0.186333,0.212022,0.24983
93,0.183909,0.210049,0.248278
94,0.181474,0.20808,0.246737
95,0.179028,0.206117,0.245206
96,0.176573,0.204159,0.243685
97,0.17411,0.202207,0.242175
98,0.171639,0.200261,0.240676
99,0.169162,0.198323,0.239187
100,0.16668,0.196394,0.23771
101,0.164197,0.194473,0.236244
102,0.161715,0.192563,0.23479
103,0.159237,0.190665,0.233347
104,0.156769,0.188779,0.231917
105,0.154316,0.186908,0.230499
106,0.151882,0.185052,0.229093
107,0.149476,0.183214,0.227701
108,0.147104,0.181396,0.226322
109,0.144775,0.1796,0.224956
110,0.1425,0.177827,0.223605
111,0.140288,0.17608,0.222268
112,0.138151,0.174363,0.220946
113,0.136098,0.172676,0.219639
114,0.134141,0.171023,0.218348
115,0.13229,0.169407,0.217073
116,0.130553,0.167829,0.215815
117,0.12894,0.166294,0.214574
118,0.127455,0.164803,0.213351
119,0.126101,0.163359,0.212145
120,0.12488,0.161964,0.210959
121,0.12379,0.160621,0.209791
122,0.122828,0.159331,0.208643
123,0.121988,0.158097,0.207515
124,0.121266,0.156919,0.206407
125,0.120652,0.155799,0.20532
126,0.12014,0.154738,0.204255
127,0.119722,0.153735,0.203211
128,0.119388,0.152792,0.20219
129,0.119132,0.151907,0.201191
130,0.118945,0.15108,0.200215
131,0.118821,0.15031,0.199262
132,0.118753,0.149596,0.198332
133,0.118735,0.148936,0.197426
134,0.118763,0.148329,0.196544
135,0.118831,0.147773,0.195686
136,0.118935,0.147265,0.194853
137,0.119071,0.146804,0.194043
138,0.119234,0.146388,0.193258
139,0.119422,0.146014,0.192497
140,0.119631,0.14568,0.19176
141,0.119861,0.145384,0.191048
142,0.120108,0.145124,0.190359
143,0.120372,0.144898,0.189695
144,0.12065,0.144704,0.189054
145,0.120942,0.14454,0.188436
146,0.121243,0.144403,0.187842
147,0.121552,0.144293,0.187271
148,0.121869,0.144208,0.186722
149,0.12219,0.144145,0.186196
150,0.122518,0.144104,0.185691
151,0.122853,0.144083,0.185208
152,0.123197,0.14408,0.184745
153,0.123544,0.144095,0.184303
154,0.123902,0.144126,0.183882
155,0.124261,0.144172,0.18348
156,0.124619,0.144233,0.183096
157,0.12497,0.144305,0.182732
158,0.125321,0.144391,0.182386
159,0.125665,0.144488,0.182057
160,0.126016,0.144595,0.181745
161,0.126374,0.144711,0.18145
162,0.12674,0.144837,0.181171
163,0.127122,0.144975,0.180908
164,0.127519,0.145116,0.18066
165,0.1279,0.145265,0.180427
166,0.128266,0.145421,0.180207
167,0.128633,0.145585,0.180001
168,0.128938,0.145753,0.179809
169,0.129273,0.145928,0.179629
170,0.129579,0.146104,0.179461
171,0.129884,0.146287,0.179305
172,0.13025,0.146478,0.179162
173,0.130677,0.146668,0.179028
174,0.131104,0.146867,0.178906
175,0.131593,0.147065,0.178794
